ticker,in_orats,in_polygon,source
A,1,1,both
AA,1,1,both
AAA,0,1,polygon
AAAP,1,0,orats
AAAU,1,1,both
AABA,1,0,orats
AAC,1,0,orats
AACC,1,0,orats
AACG,0,1,polygon
AACI,0,1,polygon
AACIW,0,1,polygon
AACQ,1,0,orats
AACT,1,1,both
AACT.U,0,1,polygon
AACT.WS,0,1,polygon
AADI,1,1,both
AADR,0,1,polygon
AAGR,0,1,polygon
AAGRW,0,1,polygon
AAI,1,0,orats
AAIC,1,0,orats
AAIN,0,1,polygon
AAL,1,1,both
AAMC,0,1,polygon
AAME,0,1,polygon
AAMI,1,0,orats
AAMRQ,1,0,orats
AAN,1,1,both
AAOI,1,1,both
AAON,1,1,both
AAOX,1,0,orats
AAP,1,1,both
AAPB,1,1,both
AAPD,1,1,both
AAPL,1,1,both
AAPU,1,1,both
AAPW,1,0,orats
AAPX,1,0,orats
AAPY,1,0,orats
AARD,1,0,orats
AAT,1,1,both
AATI,1,0,orats
AAU,1,1,both
AAUK,1,0,orats
AAUKD,1,0,orats
AAUKY,1,0,orats
AAV,1,0,orats
AAVL,1,0,orats
AAVVF,1,0,orats
AAWW,1,0,orats
AAXJ,1,1,both
AAXN,1,0,orats
AB,1,1,both
ABAT,1,1,both
ABAX,1,0,orats
ABB,1,0,orats
ABBI,1,0,orats
ABBNY,1,0,orats
ABBV,1,1,both
ABC,1,0,orats
ABCB,1,1,both
ABCL,1,1,both
ABCM,1,0,orats
ABCO,1,0,orats
ABCS,0,1,polygon
ABD,1,0,orats
ABDC,1,0,orats
ABEO,1,1,both
ABEQ,0,1,polygon
ABEV,1,1,both
ABFL,1,0,orats
ABFS,1,0,orats
ABG,1,1,both
ABH,1,0,orats
ABI,1,0,orats
ABIO,1,1,both
ABK,1,0,orats
ABKFQ,1,0,orats
ABL,1,1,both
ABLLL,0,1,polygon
ABLLW,0,1,polygon
ABLV,0,1,polygon
ABLVW,0,1,polygon
ABLX,1,0,orats
ABM,1,1,both
ABMD,1,0,orats
ABN,1,0,orats
ABNB,1,1,both
ABNG,1,0,orats
ABNY,1,0,orats
ABNYY,1,0,orats
ABOS,1,1,both
ABP,1,0,orats
ABR,1,1,both
ABRpD,0,1,polygon
ABRpE,0,1,polygon
ABRpF,0,1,polygon
ABSI,1,1,both
ABST,1,0,orats
ABT,1,1,both
ABTC,1,0,orats
ABTL,1,0,orats
ABTS,1,1,both
ABTX,1,0,orats
ABUS,1,1,both
ABV,1,0,orats
ABVC,1,1,both
ABVE,1,0,orats
ABVT,1,0,orats
ABVX,1,1,both
ABWTQ,1,0,orats
ABX,1,0,orats
ABY,1,0,orats
AC,0,1,polygon
ACA,1,1,both
ACAB,0,1,polygon
ACAC,1,1,both
ACAD,1,1,both
ACAH,0,1,polygon
ACAHU,0,1,polygon
ACAHW,0,1,polygon
ACAS,1,0,orats
ACAT,1,0,orats
ACAX,0,1,polygon
ACAXR,0,1,polygon
ACB,1,1,both
ACBAW,0,1,polygon
ACC,1,0,orats
ACCD,1,1,both
ACCL,1,0,orats
ACCO,1,1,both
ACDC,1,1,both
ACE,1,0,orats
ACEL,1,1,both
ACER,1,0,orats
ACES,1,1,both
ACET,1,1,both
ACEV,1,0,orats
ACF,1,0,orats
ACFN,1,0,orats
ACGL,1,1,both
ACGLN,0,1,polygon
ACGLO,0,1,polygon
ACGY,1,0,orats
ACH,1,0,orats
ACHC,1,1,both
ACHI,1,0,orats
ACHL,0,1,polygon
ACHN,1,0,orats
ACHR,1,1,both
ACHR.WS,0,1,polygon
ACHV,1,1,both
ACI,1,1,both
ACIA,1,0,orats
ACIC,1,1,both
ACIIQ,1,0,orats
ACIO,1,1,both
ACIU,1,1,both
ACIW,1,1,both
ACL,1,0,orats
ACLI,1,0,orats
ACLID,1,0,orats
ACLS,1,1,both
ACLX,1,1,both
ACM,1,1,both
ACMP,1,0,orats
ACMR,1,1,both
ACN,1,1,both
ACNB,1,1,both
ACNT,1,1,both
ACO,1,0,orats
ACOM,1,0,orats
ACON,0,1,polygon
ACONW,0,1,polygon
ACOR,1,1,both
ACP,0,1,polygon
ACPI,1,0,orats
ACPIQ,1,0,orats
ACPW,1,0,orats
ACPpA,0,1,polygon
ACR,1,1,both
ACRE,1,1,both
ACRS,1,1,both
ACRV,0,1,polygon
ACRX,1,1,both
ACRpC,0,1,polygon
ACRpD,0,1,polygon
ACS,1,0,orats
ACSF,1,0,orats
ACST,0,1,polygon
ACT,1,1,both
ACTA,1,0,orats
ACTC,1,0,orats
ACTG,1,1,both
ACTL,1,0,orats
ACTS,1,0,orats
ACTU,1,0,orats
ACTV,1,1,both
ACU,0,1,polygon
ACUR,1,0,orats
ACUS,1,0,orats
ACV,1,1,both
ACVA,1,1,both
ACVF,0,1,polygon
ACW,1,0,orats
ACWI,1,1,both
ACWV,1,1,both
ACWX,1,1,both
ACXM,1,0,orats
ACXP,1,1,both
AD,1,0,orats
ADAG,0,1,polygon
ADAM,1,0,orats
ADAP,1,1,both
ADAT,1,0,orats
ADBE,1,1,both
ADBG,1,0,orats
ADBL,1,0,orats
ADC,1,1,both
ADCT,1,1,both
ADCpA,0,1,polygon
ADD,0,1,polygon
ADEA,1,1,both
ADEP,1,0,orats
ADES,1,1,both
ADFI,0,1,polygon
ADGI,1,0,orats
ADHD,1,0,orats
ADI,1,1,both
ADIL,1,1,both
ADIV,0,1,polygon
ADK,1,0,orats
ADLR,1,0,orats
ADM,1,1,both
ADMA,1,1,both
ADME,0,1,polygon
ADMP,1,0,orats
ADMS,1,0,orats
ADN,1,1,both
ADNC,1,0,orats
ADNT,1,1,both
ADNWW,0,1,polygon
ADOC,0,1,polygon
ADOCR,0,1,polygon
ADOCW,0,1,polygon
ADP,1,1,both
ADPT,1,1,both
ADPTQ,1,0,orats
ADPV,0,1,polygon
ADRA,1,0,orats
ADRE,1,0,orats
ADRO,1,0,orats
ADRT,0,1,polygon
ADS,1,0,orats
ADSE,1,1,both
ADSEW,0,1,polygon
ADSK,1,1,both
ADSW,1,0,orats
ADT,1,1,both
ADTH,1,1,both
ADTHW,0,1,polygon
ADTN,1,1,both
ADTX,1,1,both
ADUR,1,0,orats
ADUS,1,1,both
ADV,1,1,both
ADVBQ,1,0,orats
ADVE,0,1,polygon
ADVM,1,1,both
ADVNB,1,0,orats
ADVS,1,0,orats
ADVWW,0,1,polygon
ADX,0,1,polygon
ADXN,0,1,polygon
ADXS,1,0,orats
ADY,1,0,orats
AE,0,1,polygon
AEA,1,0,orats
AEAE,0,1,polygon
AEC,1,0,orats
AEE,1,1,both
AEF,0,1,polygon
AEFC,0,1,polygon
AEG,1,1,both
AEGN,1,0,orats
AEGR,1,0,orats
AEHL,0,1,polygon
AEHR,1,1,both
AEI,0,1,polygon
AEIS,1,1,both
AEL,1,1,both
AELpA,0,1,polygon
AELpB,0,1,polygon
AEM,1,1,both
AEMB,0,1,polygon
AEMD,1,1,both
AENT,0,1,polygon
AENTW,0,1,polygon
AEO,1,1,both
AEON,0,1,polygon
AEON.WS,0,1,polygon
AEOS,1,0,orats
AEP,1,1,both
AER,1,1,both
AERG,1,0,orats
AERI,1,0,orats
AERL,1,0,orats
AERO,1,0,orats
AERT,0,1,polygon
AES,1,1,both
AESC,0,1,polygon
AESI,1,1,both
AESR,0,1,polygon
AET,1,0,orats
AETH,1,1,both
AEVA,1,1,both
AEVA.WS,0,1,polygon
AEXA,1,0,orats
AEY,0,1,polygon
AEYE,1,1,both
AEZ,1,0,orats
AEZS,1,1,both
AF,1,0,orats
AFAM,1,0,orats
AFAR,0,1,polygon
AFARW,0,1,polygon
AFB,0,1,polygon
AFBI,0,1,polygon
AFCE,1,0,orats
AFCG,1,1,both
AFCO,1,0,orats
AFFX,1,0,orats
AFFY,1,0,orats
AFG,1,1,both
AFGB,0,1,polygon
AFGC,0,1,polygon
AFGD,0,1,polygon
AFGE,0,1,polygon
AFH,1,0,orats
AFI,1,0,orats
AFIB,1,1,both
AFIF,0,1,polygon
AFIIQ,1,0,orats
AFIN,1,0,orats
AFJKU,0,1,polygon
AFK,1,1,both
AFL,1,1,both
AFLG,0,1,polygon
AFMC,0,1,polygon
AFMD,1,1,both
AFN,1,0,orats
AFOP,1,0,orats
AFR,1,0,orats
AFRI,0,1,polygon
AFRIW,0,1,polygon
AFRM,1,1,both
AFRU,1,0,orats
AFSI,1,0,orats
AFSM,0,1,polygon
AFT,0,1,polygon
AFTY,1,1,both
AFYA,1,1,both
AG,1,1,both
AGAE,0,1,polygon
AGAM,1,0,orats
AGBA,0,1,polygon
AGC,1,0,orats
AGCB,1,0,orats
AGCO,1,1,both
AGD,0,1,polygon
AGE,1,1,both
AGEN,1,1,both
AGFS,1,0,orats
AGFY,1,1,both
AGG,1,1,both
AGGH,0,1,polygon
AGGY,1,1,both
AGH,1,0,orats
AGI,1,1,both
AGIH,0,1,polygon
AGII,1,0,orats
AGIL,1,0,orats
AGIO,1,1,both
