ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SPY,us_large_cap_equity,xsec,2010-01-11,2010-02-20,40,22,0,110.0,105.0,5.0,0.5900000000000001,4.41,441.0,NaN,0.0007656225004332644,0.34854556748996296,0.7052839496374862,1.0,90.70294784580499,91.0,114.73,111.14,false,2010-02-20,expiry,5369.000000000001,118.3,5250.700000000001,0.0026253500000000003
XRT,us_discretionary_sector,xsec,2010-01-11,2010-02-20,40,22,0,34.0,32.0,2.0,0.21,1.79,179.0,NaN,0.0018102609979563197,0.3455602655018199,0.5129412828310452,1.0,223.46368715083798,223.0,36.41,36.77,false,2010-02-20,expiry,4683.0,289.90000000000003,4393.1,0.0021965500000000002
DIA,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,104.0,100.0,4.0,0.43000000000000005,3.57,357.0,NaN,0.0005036120835882746,0.32665998308571276,0.5675456748679509,1.0,112.04481792717087,112.0,107.17,103.99,true,2010-02-20,expiry,4703.999999999944,145.6,4558.399999999943,0.0022791999999999717
SPY,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,111.0,107.0,4.0,0.45,3.55,355.0,NaN,0.0006946721639377971,0.35591604075361616,0.637552275751942,1.0,112.67605633802818,113.0,115.06,111.14,false,2010-02-20,expiry,5085.0,146.9,4938.1,0.00246905
XLI,us_industrial_sector,xsec,2010-01-25,2010-02-20,26,22,0,27.0,25.0,2.0,0.24000000000000002,1.76,176.0,NaN,0.0006501650556977085,0.148249931800647,0.5756739684846836,1.0,227.27272727272728,227.0,28.02,28.86,false,2010-02-20,expiry,5448.000000000001,295.1,5152.900000000001,0.00257645
XRT,us_discretionary_sector,xsec,2010-01-25,2010-02-20,26,22,0,33.0,32.0,1.0,0.12000000000000002,0.88,88.0,NaN,0.0007779918502253715,0.1475979087936308,0.5111892339299097,1.0,454.54545454545456,455.0,35.01,36.77,false,2010-02-20,expiry,5460.000000000001,591.5,4868.500000000001,0.0024342500000000006
DIA,us_large_cap_equity,xsec,2010-02-08,2010-03-20,40,22,1,94.0,88.0,6.0,0.69,5.3100000000000005,531.0,NaN,0.0013165568314887355,0.3558150528746062,0.5613971082356659,1.0,75.32956685499059,75.0,99.22,107.34,false,2010-03-20,expiry,5175.0,97.5,5077.5,0.00253875
SPY,us_large_cap_equity,xsec,2010-02-08,2010-03-20,40,22,1,100.0,92.0,8.0,1.0100000000000002,6.99,699.0,NaN,0.001535693570423081,0.3360640936800331,0.6171965265214626,1.0,57.22460658082976,57.0,105.89,115.97,false,2010-03-20,expiry,5757.000000000002,74.10000000000001,5682.9000000000015,0.0028414500000000006
SPY,us_large_cap_equity,xsec,2010-02-16,2010-03-20,32,22,1,105.0,98.0,7.0,0.86,6.14,614.0,NaN,0.0001527614552667149,0.05,0.5733766167482373,1.0,65.14657980456026,65.0,109.74,115.97,false,2010-03-20,expiry,5590.0,84.5,5505.5,0.00275275
TLT,us_rates_and_ig_credit,xsec,2010-02-16,2010-03-20,32,22,1,88.0,86.0,2.0,0.30000000000000004,1.7,170.0,NaN,0.00007372171316194281,0.05915957741795777,0.3780911910359306,1.0,235.2941176470588,235.0,90.36,91.26,false,2010-03-20,expiry,7050.000000000001,305.5,6744.500000000001,0.0033722500000000002
DIA,us_large_cap_equity,xsec,2010-02-22,2010-03-20,26,22,1,101.0,97.0,4.0,0.47,3.5300000000000002,353.0,NaN,0.0001678401832068176,0.08411552940499804,0.5507755015894508,1.0,113.31444759206799,113.0,103.84,107.34,false,2010-03-20,expiry,5311.0,146.9,5164.1,0.0025820500000000002
SPY,us_large_cap_equity,xsec,2010-02-22,2010-03-20,26,22,1,107.0,103.0,4.0,0.48000000000000004,3.52,352.0,NaN,0.00046242464676290746,0.17375667019362812,0.5949786828282677,1.0,113.63636363636364,114.0,111.16,115.97,false,2010-03-20,expiry,5472.000000000001,148.20000000000002,5323.800000000001,0.0026619000000000005
DIA,us_large_cap_equity,xsec,2010-03-08,2010-04-17,40,22,2,102.0,97.0,5.0,0.6,4.4,440.00000000000006,NaN,0.0002311497635767441,0.14726281822649911,0.5482265207284763,1.0,90.90909090909089,91.0,105.59,110.18,false,2010-04-17,expiry,5460.0,118.3,5341.7,0.00267085
SPY,us_large_cap_equity,xsec,2010-03-08,2010-04-17,40,22,2,110.0,104.0,6.0,0.78,5.22,522.0,NaN,0.0004550736990791438,0.2231103245813546,0.6048086274588224,1.0,76.62835249042146,77.0,114.27,119.36,false,2010-04-17,expiry,6006.0,100.10000000000001,5905.9,0.0029529499999999998
IWM,us_small_cap_equity,xsec,2010-03-15,2010-04-17,33,22,2,64.0,61.0,3.0,0.34,2.66,266.0,NaN,0.0008953173526775487,0.24051379021465355,0.5157561177849276,1.0,150.37593984962405,150.0,67.49,71.46,false,2010-04-17,expiry,5100.0,195.0,4905.0,0.0024525
SPY,us_large_cap_equity,xsec,2010-03-15,2010-04-17,33,22,2,111.0,107.0,4.0,0.49999999999999994,3.5,350.0,NaN,0.0005129577468661363,0.2367558840335417,0.6300665099085001,1.0,114.28571428571429,114.0,115.49,119.36,false,2010-04-17,expiry,5699.999999999999,148.20000000000002,5551.799999999999,0.0027758999999999995
IWM,us_small_cap_equity,xsec,2010-03-22,2010-04-17,26,22,2,66.0,64.0,2.0,0.31999999999999995,1.6800000000000002,168.00000000000003,NaN,0.0005636681333403286,0.1671512420492646,0.5177155121617024,1.0,238.09523809523805,238.0,68.36,71.46,false,2010-04-17,expiry,7615.999999999999,309.40000000000003,7306.599999999999,0.0036532999999999995
TLT,us_rates_and_ig_credit,xsec,2010-03-22,2010-04-17,26,22,2,90.0,89.0,1.0,0.24,0.76,76.0,NaN,0.00010954935560672995,0.13183680726471955,0.3715477987044597,1.0,526.3157894736842,526.0,91.36,89.86,true,2010-04-17,expiry,5259.99999999997,683.8000000000001,4576.19999999997,0.0022880999999999848
DIA,us_large_cap_equity,xsec,2010-04-12,2010-05-22,40,22,3,107.0,101.0,6.0,0.7,5.3,530.0,NaN,0.00048125198151318044,0.34469064012620276,0.5911866381290504,1.0,75.47169811320755,75.0,110.18,101.84,true,2010-05-22,expiry,-33449.99999999997,97.5,-33547.49999999997,-0.016773749999999987
SPY,us_large_cap_equity,xsec,2010-04-12,2010-05-22,40,22,3,115.0,111.0,4.0,0.44999999999999996,3.55,355.0,NaN,0.0005261925833017246,0.3073218168460778,0.6389799922154257,1.0,112.67605633802818,113.0,119.74,109.11,true,2010-05-22,expiry,-40115.0,146.9,-40261.9,-0.02013095
GLD,precious_metals,xsec,2010-04-19,2010-05-22,33,22,3,107.0,104.0,3.0,0.41000000000000003,2.59,259.0,NaN,0.00025463274500242203,0.10172660583528029,0.3670545590492043,1.0,154.44015444015443,154.0,111.15,115.22,false,2010-05-22,expiry,6314.0,200.20000000000002,6113.8,0.0030569
IBB,us_healthcare_sector,xsec,2010-04-19,2010-05-22,33,22,3,90.0,85.0,5.0,0.65,4.35,434.99999999999994,NaN,0.00023200929125680387,0.08437119208895037,0.47328880545007457,1.0,91.95402298850576,92.0,91.94,80.75,true,2010-05-22,expiry,-40019.99999999999,119.60000000000001,-40139.59999999999,-0.020069799999999995
DIA,us_large_cap_equity,xsec,2010-04-26,2010-05-22,26,22,3,109.0,106.0,3.0,0.3499999999999999,2.65,265.0,NaN,0.0004396835693605977,0.31520002343741405,0.5488330573997113,1.0,150.9433962264151,151.0,112.08,101.84,true,2010-05-22,expiry,-40015.00000000001,196.3,-40211.30000000001,-0.020105650000000006
SPY,us_large_cap_equity,xsec,2010-04-26,2010-05-22,26,22,3,118.0,114.0,4.0,0.48,3.52,352.0,NaN,0.00048564546552772297,0.25075399708689766,0.5958873000649882,1.0,113.63636363636364,114.0,121.35,109.11,true,2010-05-22,expiry,-40128.00000000001,148.20000000000002,-40276.200000000004,-0.020138100000000003
GLD,precious_metals,xsec,2010-05-10,2010-06-19,40,22,4,112.0,107.0,5.0,0.71,4.29,429.0,NaN,0.0006092922692060463,0.16393993260969475,0.36759727898457656,1.0,93.24009324009324,93.0,117.57,122.83,false,2010-06-19,expiry,6603.0,120.9,6482.1,0.00324105
GLD,precious_metals,xsec,2010-05-17,2010-06-19,33,22,4,114.0,109.0,5.0,0.71,4.29,429.0,NaN,0.0007933882998556159,0.1789941210219958,0.378405070127057,1.0,93.24009324009324,93.0,119.36,122.83,false,2010-06-19,expiry,6603.0,120.9,6482.1,0.00324105
USO,oil_and_energy,xsec,2010-05-17,2010-06-19,33,22,4,31.0,29.0,2.0,0.29,1.71,171.0,NaN,0.002986918888902332,0.22608850329965294,0.3398737054703634,1.0,233.91812865497076,234.0,33.88,35.41,false,2010-06-19,expiry,6785.999999999999,304.2,6481.799999999999,0.0032408999999999997
DIA,us_large_cap_equity,xsec,2010-05-24,2010-06-19,26,22,4,95.0,87.0,8.0,0.88,7.12,712.0,NaN,0.0011825455432076847,0.17860818880978815,0.562157395840668,1.0,56.17977528089887,56.0,100.68,104.49,false,2010-06-19,expiry,4928.0,72.8,4855.2,0.0024276
TLT,us_rates_and_ig_credit,xsec,2010-05-24,2010-06-19,26,22,4,95.0,92.0,3.0,0.5499999999999999,2.45,245.00000000000003,NaN,0.0007694672296228383,0.20645540529150846,0.4146236629927914,1.0,163.26530612244895,163.0,98.09,97.69,false,2010-06-19,expiry,8964.999999999998,211.9,8753.099999999999,0.004376549999999999
GLD,precious_metals,xsec,2010-06-01,2010-06-30,29,22,5,115.0,111.0,4.0,0.53,3.4699999999999998,347.0,NaN,0.0005402541803388454,0.1500601647335928,0.37374380249708455,1.0,115.27377521613833,115.0,119.91,121.68,false,2010-06-30,expiry,6095.0,149.5,5945.5,0.00297275
IWM,us_small_cap_equity,xsec,2010-06-01,2010-06-30,29,22,5,59.0,53.0,6.0,0.74,5.26,526.0,NaN,0.001178759239196336,0.08754863707092711,0.5217570950941013,1.0,76.04562737642586,76.0,64.24,61.115,false,2010-06-30,expiry,5624.0,98.8,5525.2,0.0027626
DIA,us_large_cap_equity,xsec,2010-06-07,2010-07-17,40,22,5,91.0,83.0,8.0,0.87,7.13,713.0,NaN,0.0022948631756036283,0.31212953204279664,0.5802411615942068,1.0,56.100981767180926,56.0,98.27,101.01,false,2010-07-17,expiry,4872.0,72.8,4799.2,0.0023996
SPY,us_large_cap_equity,xsec,2010-06-07,2010-07-17,40,22,5,97.0,89.0,8.0,1.0499999999999998,6.95,695.0,NaN,0.0027043275813860733,0.29722261883734336,0.608378099158133,1.0,57.55395683453237,58.0,105.49,106.66,false,2010-07-17,expiry,6089.999999999999,75.4,6014.599999999999,0.0030072999999999996
IWM,us_small_cap_equity,xsec,2010-06-14,2010-07-17,33,22,5,61.0,56.0,5.0,0.78,4.22,422.0,NaN,0.0008430005371732087,0.08172603380222655,0.5249631141853854,1.0,94.7867298578199,95.0,65.35,61.07,false,2010-07-17,expiry,7410.0,123.5,7286.5,0.00364325
XLY,us_discretionary_sector,xsec,2010-06-14,2010-07-17,33,22,5,30.0,28.0,2.0,0.21000000000000002,1.79,179.0,NaN,0.00024907892944920663,0.05,0.5954613070787577,1.0,223.46368715083798,223.0,32.34,30.02,false,2010-07-17,expiry,4683.000000000001,289.90000000000003,4393.100000000001,0.0021965500000000007
GLD,precious_metals,xsec,2010-06-21,2010-07-17,26,22,5,116.0,110.0,6.0,0.65,5.35,535.0,NaN,0.00040642606749833124,0.13875220163873123,0.367099713791426,1.0,74.76635514018692,75.0,120.39,116.67,false,2010-07-17,expiry,4875.0,97.5,4777.5,0.00238875
IWM,us_small_cap_equity,xsec,2010-06-21,2010-07-17,26,22,5,62.0,58.0,4.0,0.53,3.4699999999999998,347.0,NaN,0.00004879630791069546,0.05,0.5249909021456971,1.0,115.27377521613833,115.0,66.11,61.07,true,2010-07-17,expiry,-4599.999999999996,149.5,-4749.499999999996,-0.0023747499999999984
DIA,us_large_cap_equity,xsec,2010-07-12,2010-08-21,40,22,6,97.0,91.0,6.0,0.7,5.3,530.0,NaN,0.0008800886100965811,0.24061986997610815,0.6007790026289287,1.0,75.47169811320755,75.0,102.25,102.14,false,2010-08-21,expiry,5250.0,97.5,5152.5,0.00257625
SPY,us_large_cap_equity,xsec,2010-07-12,2010-08-21,40,22,6,102.0,95.0,7.0,0.84,6.16,616.0,NaN,0.0010978323387095903,0.23261264498802497,0.6292310811671081,1.0,64.93506493506493,65.0,108.03,107.53,false,2010-08-21,expiry,5460.0,84.5,5375.5,0.00268775
DIA,us_large_cap_equity,xsec,2010-07-19,2010-08-21,33,22,6,97.0,93.0,4.0,0.62,3.38,338.0,NaN,0.001055121272102918,0.2907432814553701,0.6005143790259293,1.0,118.34319526627219,118.0,101.62,102.14,false,2010-08-21,expiry,7316.0,153.4,7162.6,0.0035813000000000004
IWM,us_small_cap_equity,xsec,2010-07-19,2010-08-21,33,22,6,57.0,52.0,5.0,0.6700000000000002,4.33,433.0,NaN,0.0031686106643291053,0.3376667683810777,0.5227788152458247,1.0,92.37875288683603,92.0,61.33,61.15,false,2010-08-21,expiry,6164.000000000001,119.60000000000001,6044.400000000001,0.0030222
GLD,precious_metals,xsec,2010-07-26,2010-08-21,26,22,6,112.0,108.0,4.0,0.53,3.4699999999999998,347.0,NaN,0.00042857077822001065,0.15944415325427463,0.3638733462484473,1.0,115.27377521613833,115.0,115.52,119.97,false,2010-08-21,expiry,6095.0,149.5,5945.5,0.00297275
USO,oil_and_energy,xsec,2010-07-26,2010-08-21,26,22,6,33.0,32.0,1.0,0.13999999999999999,0.86,86.0,NaN,0.000846182171306737,0.10802655256532777,0.35628446830101085,1.0,465.1162790697674,465.0,35.35,32.95,true,2010-08-21,expiry,4185.000000000131,604.5,3580.500000000131,0.0017902500000000654
EEM,emerging_markets,xsec,2010-08-09,2010-09-18,40,22,7,40.0,36.0,4.0,0.48,3.52,352.0,NaN,0.002421171216588528,0.4318135132271242,1.7489045728387453,1.0,113.63636363636364,114.0,42.3,43.02,false,2010-09-18,expiry,5472.0,148.20000000000002,5323.8,0.0026619
IYR,us_real_estate,xsec,2010-08-09,2010-09-18,40,22,7,50.0,45.0,5.0,0.5800000000000001,4.42,442.0,NaN,0.0022258633423009886,0.40950947639366475,1.5435745235045737,1.0,90.49773755656109,90.0,52.8,54.0,false,2010-09-18,expiry,5220.000000000001,117.0,5103.000000000001,0.0025515000000000004
EEM,emerging_markets,xsec,2010-08-16,2010-09-18,33,22,7,39.0,35.0,4.0,0.49,3.51,351.0,NaN,0.0030576603295236447,0.47368034585820074,1.7597387941676947,1.0,113.96011396011396,114.0,41.06,43.02,false,2010-09-18,expiry,5586.0,148.20000000000002,5437.8,0.0027189000000000002
IYR,us_real_estate,xsec,2010-08-16,2010-09-18,33,22,7,47.0,43.0,4.0,0.5,3.5,350.0,NaN,0.004619648085497966,0.5070250178187122,1.4706142874964683,1.0,114.28571428571429,114.0,50.48,54.0,false,2010-09-18,expiry,5700.0,148.20000000000002,5551.8,0.0027759
GLD,precious_metals,xsec,2010-08-23,2010-09-18,26,22,7,117.0,112.0,5.0,0.65,4.35,434.99999999999994,NaN,0.0010861556958890969,0.5394421174849169,0.5036462812796834,1.0,91.95402298850576,92.0,119.78,124.54,false,2010-09-18,expiry,5980.0,119.60000000000001,5860.4,0.0029302
IYR,us_real_estate,xsec,2010-08-23,2010-09-18,26,22,7,47.0,44.0,3.0,0.32999999999999996,2.67,267.0,NaN,0.0032568468533661216,0.4723233891701788,1.4861160194745753,1.0,149.81273408239701,150.0,50.03,54.0,false,2010-09-18,expiry,4949.999999999999,195.0,4754.999999999999,0.0023774999999999994
GLD,precious_metals,xsec,2010-08-30,2010-09-30,31,22,7,117.0,113.0,4.0,0.49999999999999994,3.5,350.0,NaN,0.0010979226287171039,0.5127626977865501,0.5020974943005247,1.0,114.28571428571429,114.0,120.91,127.91,false,2010-09-30,expiry,5699.999999999999,148.20000000000002,5551.799999999999,0.0027758999999999995
SPY,us_large_cap_equity,xsec,2010-08-30,2010-09-30,31,22,7,100.0,95.0,5.0,0.77,4.23,423.00000000000006,NaN,0.0023816094643765266,0.4532860250549501,0.8037599201567124,1.0,94.5626477541371,95.0,105.31,114.13,false,2010-09-30,expiry,7315.0,123.5,7191.5,0.00359575
GLD,precious_metals,xsec,2010-09-07,2010-10-16,39,22,8,118.0,113.0,5.0,0.55,4.45,445.0,NaN,0.0010855907189627168,0.5021436517545071,0.5167889340282845,1.0,89.88764044943821,90.0,122.7,133.68,false,2010-10-16,expiry,4950.000000000001,117.0,4833.000000000001,0.0024165000000000002
SLV,precious_metals,xsec,2010-09-07,2010-10-16,39,22,8,18.0,17.0,1.0,0.13,0.87,87.0,NaN,0.003864894461822598,0.47547836518015923,0.6324738818498236,1.0,459.7701149425287,460.0,19.36,23.75,false,2010-10-16,expiry,5980.0,598.0,5382.0,0.002691
GLD,precious_metals,xsec,2010-09-13,2010-10-16,33,22,8,118.0,112.0,6.0,0.6599999999999999,5.34,534.0,NaN,0.0010354338935410936,0.5223229185144302,0.5034759347066923,1.0,74.90636704119851,75.0,121.62,133.68,false,2010-10-16,expiry,4949.999999999999,97.5,4852.499999999999,0.0024262499999999996
XLB,us_materials_sector,xsec,2010-09-13,2010-10-16,33,22,8,32.0,30.0,2.0,0.27999999999999997,1.72,172.0,NaN,0.001615637714724583,0.3331143992840705,0.6805811570125507,1.0,232.5581395348837,233.0,33.35,34.59,false,2010-10-16,expiry,6523.999999999999,302.90000000000003,6221.099999999999,0.0031105499999999997
EWZ,latam_equity,xsec,2010-09-20,2010-10-16,26,22,8,69.0,64.0,5.0,0.6200000000000001,4.38,438.0,NaN,0.002758438931516109,0.4367022145746054,0.9371512527432837,1.0,91.32420091324201,91.0,72.46,80.4,false,2010-10-16,expiry,5642.000000000001,118.3,5523.700000000001,0.00276185
GLD,precious_metals,xsec,2010-09-20,2010-10-16,26,22,8,121.0,118.0,3.0,0.42,2.58,258.0,NaN,0.0011513939444339099,0.5270524425337977,0.5051790626841046,1.0,155.03875968992247,155.0,124.87,133.68,false,2010-10-16,expiry,6510.0,201.5,6308.5,0.00315425
EEM,emerging_markets,xsec,2010-10-11,2010-11-20,40,22,9,44.0,40.0,4.0,0.49999999999999994,3.5,350.0,NaN,0.002417015210844898,0.5373080956357319,1.9155330921313791,1.0,114.28571428571429,114.0,46.2,46.51,false,2010-11-20,expiry,5699.999999999999,148.20000000000002,5551.799999999999,0.0027758999999999995
IYR,us_real_estate,xsec,2010-10-11,2010-11-20,40,22,9,51.0,47.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.0026909897349518823,0.5735465650961253,1.6313558393288086,1.0,112.99435028248588,113.0,54.24,53.73,false,2010-11-20,expiry,5198.0,146.9,5051.1,0.00252555
GLD,precious_metals,xsec,2010-10-18,2010-11-20,33,22,9,130.0,123.0,7.0,0.9900000000000001,6.01,601.0,NaN,0.0014956867383791302,0.5636720913237435,0.5018608398682834,1.0,66.55574043261231,67.0,134.28,132.2,false,2010-11-20,expiry,6633.000000000001,87.10000000000001,6545.900000000001,0.00327295
SLV,precious_metals,xsec,2010-10-18,2010-11-20,33,22,9,22.0,21.0,1.0,0.12,0.88,88.0,NaN,0.005760843542803864,0.5853405549706401,0.6580465469194482,1.0,454.54545454545456,455.0,23.96,26.74,false,2010-11-20,expiry,5460.0,591.5,4868.5,0.00243425
