ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SMH,us_technology_sector,xsec,2010-01-06,2010-02-20,45,22,0,26.0,24.0,2.0,0.22,1.78,178.0,NaN,0.002108260563651255,0.3277576254224095,0.44802689357039704,1.0,224.7191011235955,225.0,28.18,26.84,false,2010-02-20,expiry,4950.0,292.5,4657.5,0.00232875
XRT,us_discretionary_sector,xsec,2010-01-06,2010-02-20,45,22,0,34.0,32.0,2.0,0.27,1.73,173.0,NaN,0.0021950929387915563,0.37527239760359016,0.5179741120716707,1.0,231.21387283236993,231.0,36.5,36.77,false,2010-02-20,expiry,6237.0,300.3,5936.7,0.00296835
DIA,us_large_cap_equity,xsec,2010-01-13,2010-02-20,38,22,0,103.0,99.0,4.0,0.43,3.57,357.0,NaN,0.0005518724161590355,0.32029521685939943,0.5845445825991276,1.0,112.04481792717087,112.0,106.75,103.99,false,2010-02-20,expiry,4816.0,145.6,4670.4,0.0023352
SPY,us_large_cap_equity,xsec,2010-01-13,2010-02-20,38,22,0,110.0,106.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.0006162733194705785,0.2892271377346833,0.6531302906598749,1.0,112.99435028248588,113.0,114.62,111.14,false,2010-02-20,expiry,5198.0,146.9,5051.1,0.00252555
DIA,us_large_cap_equity,xsec,2010-01-20,2010-02-20,31,22,0,103.0,98.0,5.0,0.52,4.48,448.00000000000006,NaN,0.00024323525326103916,0.15932549142493718,0.5487208289358262,1.0,89.28571428571428,89.0,106.02,103.99,false,2010-02-20,expiry,4628.0,115.7,4512.3,0.00225615
SPY,us_large_cap_equity,xsec,2010-01-20,2010-02-20,31,22,0,110.0,106.0,4.0,0.4600000000000001,3.54,354.0,NaN,0.0004660275186304957,0.2230360717776464,0.636296885810862,1.0,112.99435028248588,113.0,113.89,111.14,false,2010-02-20,expiry,5198.000000000001,146.9,5051.100000000001,0.0025255500000000005
SPY,us_large_cap_equity,xsec,2010-02-03,2010-03-20,45,22,1,105.0,97.0,8.0,1.05,6.95,695.0,NaN,0.0002687449471689132,0.09233879027434867,0.5913511049945935,1.0,57.55395683453237,58.0,109.83,115.97,false,2010-03-20,expiry,6090.0,75.4,6014.6,0.0030073
USO,oil_and_energy,xsec,2010-02-03,2010-03-20,45,22,1,35.0,32.0,3.0,0.45999999999999996,2.54,254.0,NaN,0.0018458110014080804,0.22079529296712497,0.33695985897683645,1.0,157.48031496062993,157.0,37.65,39.2,false,2010-03-20,expiry,7222.0,204.1,7017.9,0.00350895
DIA,us_large_cap_equity,xsec,2010-02-10,2010-03-20,38,22,1,95.0,89.0,6.0,0.6500000000000001,5.35,535.0,NaN,0.0004251416199581863,0.13943504938836315,0.53395261645735,1.0,74.76635514018692,75.0,100.52,107.34,false,2010-03-20,expiry,4875.000000000001,97.5,4777.500000000001,0.0023887500000000002
SPY,us_large_cap_equity,xsec,2010-02-10,2010-03-20,38,22,1,101.0,93.0,8.0,0.98,7.02,702.0,NaN,0.0007695313937148406,0.1845298124492861,0.5833058224341303,1.0,56.98005698005698,57.0,107.01,115.97,false,2010-03-20,expiry,5586.0,74.10000000000001,5511.9,0.0027559499999999996
