ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SPY,us_large_cap_equity,xsec,2010-01-07,2010-02-20,44,22,0,109.0,104.0,5.0,0.5700000000000001,4.43,443.0,NaN,0.0008154259998322906,0.3566996897542791,0.6948524213767218,1.0,90.29345372460497,90.0,114.19,111.14,false,2010-02-20,expiry,5130.000000000001,117.0,5013.000000000001,0.0025065000000000005
SPY,us_large_cap_equity,xsec,2010-01-11,2010-02-20,40,22,0,110.0,105.0,5.0,0.5900000000000001,4.41,441.0,NaN,0.0007656225004332644,0.34854556748996296,0.7052839496374862,1.0,90.70294784580499,91.0,114.73,111.14,false,2010-02-20,expiry,5369.000000000001,118.3,5250.700000000001,0.0026253500000000003
SPY,us_large_cap_equity,xsec,2010-01-14,2010-02-20,37,22,0,111.0,106.0,5.0,0.5700000000000001,4.43,443.0,NaN,0.000647159531592908,0.3151640654777001,0.6725626562469241,1.0,90.29345372460497,90.0,114.93,111.14,false,2010-02-20,expiry,5130.000000000001,117.0,5013.000000000001,0.0025065000000000005
SPY,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,111.0,107.0,4.0,0.45,3.55,355.0,NaN,0.0006946721639377971,0.35591604075361616,0.637552275751942,1.0,112.67605633802818,113.0,115.06,111.14,false,2010-02-20,expiry,5085.0,146.9,4938.1,0.00246905
SPY,us_large_cap_equity,xsec,2010-01-21,2010-02-20,30,22,0,107.0,102.0,5.0,0.56,4.4399999999999995,443.99999999999994,NaN,0.0007766137604136212,0.2662570565147739,0.6214582890151648,1.0,90.0900900900901,90.0,111.7,111.14,false,2010-02-20,expiry,5040.000000000001,117.0,4923.000000000001,0.0024615000000000006
XLI,us_industrial_sector,xsec,2010-01-25,2010-02-20,26,22,0,27.0,25.0,2.0,0.24000000000000002,1.76,176.0,NaN,0.0006501650556977085,0.148249931800647,0.5756739684846836,1.0,227.27272727272728,227.0,28.02,28.86,false,2010-02-20,expiry,5448.000000000001,295.1,5152.900000000001,0.00257645
DIA,us_large_cap_equity,xsec,2010-02-04,2010-03-20,44,22,1,95.0,88.0,7.0,0.8300000000000001,6.17,617.0,NaN,0.0012123096545089513,0.3366240251269919,0.5618052348068698,1.0,64.82982171799027,65.0,100.04,107.34,false,2010-03-20,expiry,5395.0,84.5,5310.5,0.00265525
DIA,us_large_cap_equity,xsec,2010-02-08,2010-03-20,40,22,1,94.0,88.0,6.0,0.69,5.3100000000000005,531.0,NaN,0.0013165568314887355,0.3558150528746062,0.5613971082356659,1.0,75.32956685499059,75.0,99.22,107.34,false,2010-03-20,expiry,5175.0,97.5,5077.5,0.00253875
SPY,us_large_cap_equity,xsec,2010-02-11,2010-03-20,37,22,1,103.0,95.0,8.0,1.0,7.0,700.0,NaN,0.0004485671388710934,0.1195543692750804,0.5790884338873661,1.0,57.142857142857146,57.0,108.13,115.97,false,2010-03-20,expiry,5700.0,74.10000000000001,5625.9,0.00281295
TLT,us_rates_and_ig_credit,xsec,2010-02-16,2010-03-20,32,22,1,88.0,86.0,2.0,0.30000000000000004,1.7,170.0,NaN,0.00007372171316194281,0.05915957741795777,0.3780911910359306,1.0,235.2941176470588,235.0,90.36,91.26,false,2010-03-20,expiry,7050.000000000001,305.5,6744.500000000001,0.0033722500000000002
