ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SPY,us_large_cap_equity,xsec,2010-01-11,2010-02-20,40,22,0,110.0,105.0,5.0,0.5900000000000001,4.41,441.0,NaN,0.0007656225004332644,0.34854556748996296,0.7052839496374862,1.0,90.70294784580499,91.0,114.73,111.14,false,2010-02-20,expiry,5369.000000000001,118.3,5250.700000000001,0.0026253500000000003
IWM,us_small_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,62.0,59.0,3.0,0.37999999999999995,2.62,262.0,NaN,0.0007213712747207173,0.2077674468891055,0.4995923145040929,1.0,152.67175572519085,153.0,64.85,63.06,false,2010-02-20,expiry,5813.999999999999,198.9,5615.099999999999,0.00280755
SPY,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,111.0,107.0,4.0,0.45,3.55,355.0,NaN,0.0006946721639377971,0.35591604075361616,0.637552275751942,1.0,112.67605633802818,113.0,115.06,111.14,false,2010-02-20,expiry,5085.0,146.9,4938.1,0.00246905
SPY,us_large_cap_equity,xsec,2010-01-26,2010-02-20,25,22,0,105.0,99.0,6.0,0.7,5.3,530.0,NaN,0.0009140262241796198,0.25446541830574226,0.6303770304009932,1.0,75.47169811320755,75.0,109.31,111.14,false,2010-02-20,expiry,5250.0,97.5,5152.5,0.00257625
IWM,us_small_cap_equity,xsec,2010-02-09,2010-03-20,39,22,1,56.0,51.0,5.0,0.65,4.35,434.99999999999994,NaN,0.0007739050409360949,0.125157313137143,0.5056609916398325,1.0,91.95402298850576,92.0,59.49,67.41,false,2010-03-20,expiry,5980.0,119.60000000000001,5860.4,0.0029302
SPY,us_large_cap_equity,xsec,2010-02-09,2010-03-20,39,22,1,101.0,93.0,8.0,0.98,7.02,702.0,NaN,0.0005695864560778295,0.12393593765658861,0.5939522959762977,1.0,56.98005698005698,57.0,107.22,115.97,false,2010-03-20,expiry,5586.0,74.10000000000001,5511.9,0.0027559499999999996
SPY,us_large_cap_equity,xsec,2010-02-17,2010-03-20,31,22,1,106.0,99.0,7.0,0.8099999999999999,6.19,619.0,NaN,0.0003519246875609162,0.11375646300235516,0.5735653049187455,1.0,64.62035541195476,65.0,110.26,115.97,false,2010-03-20,expiry,5265.0,84.5,5180.5,0.00259025
IWM,us_small_cap_equity,xsec,2010-02-24,2010-03-31,35,22,1,60.0,56.0,4.0,0.49999999999999994,3.5,350.0,NaN,0.00034222421088611924,0.09129192876357438,0.5327877781896742,1.0,114.28571428571429,114.0,63.04,67.8,false,2010-03-31,expiry,5699.999999999999,148.20000000000002,5551.799999999999,0.0027758999999999995
SPY,us_large_cap_equity,xsec,2010-02-24,2010-03-31,35,22,1,106.0,100.0,6.0,0.6900000000000002,5.31,531.0,NaN,0.0004574231696559423,0.16145662819725173,0.6183114105797589,1.0,75.32956685499059,75.0,110.82,117.0,false,2010-03-31,expiry,5175.000000000001,97.5,5077.500000000001,0.0025387500000000006
TLT,us_rates_and_ig_credit,xsec,2010-03-03,2010-04-17,45,22,2,88.0,86.0,2.0,0.27,1.73,173.0,NaN,0.00008856552526331904,0.08530973212878927,0.3696689951069869,1.0,231.21387283236993,231.0,90.99,89.86,false,2010-04-17,expiry,6237.0,300.3,5936.7,0.00296835
