ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
FXI,china_equity,xsec,2010-01-12,2010-02-20,39,22,0,40.0,37.0,3.0,0.36,2.64,264.0,NaN,0.002376664262720927,0.3470450115398392,0.617731660214602,1.0,151.5151515151515,152.0,43.0,39.03,true,2010-02-20,expiry,-9271.999999999982,197.6,-9469.599999999982,-0.004734799999999991
XRT,us_discretionary_sector,xsec,2010-01-12,2010-02-20,39,22,0,34.0,32.0,2.0,0.22999999999999998,1.77,177.0,NaN,0.0016992783663325206,0.33139558233489047,0.5128311461817472,1.0,225.98870056497177,226.0,36.16,36.77,false,2010-02-20,expiry,5198.0,293.8,4904.2,0.0024521
DIA,us_large_cap_equity,xsec,2010-01-20,2010-02-20,31,22,0,103.0,98.0,5.0,0.52,4.48,448.00000000000006,NaN,0.0004885671216835125,0.3200243209513459,0.5487208289358262,1.0,89.28571428571428,89.0,106.02,103.99,false,2010-02-20,expiry,4628.0,115.7,4512.3,0.00225615
SPY,us_large_cap_equity,xsec,2010-01-20,2010-02-20,31,22,0,110.0,106.0,4.0,0.4600000000000001,3.54,354.0,NaN,0.0008323570645092267,0.398357698983235,0.636296885810862,1.0,112.99435028248588,113.0,113.89,111.14,false,2010-02-20,expiry,5198.000000000001,146.9,5051.100000000001,0.0025255500000000005
SPY,us_large_cap_equity,xsec,2010-02-03,2010-03-20,45,22,1,105.0,97.0,8.0,1.05,6.95,695.0,NaN,0.00031534788926640064,0.10835121894264581,0.5913511049945935,1.0,57.55395683453237,58.0,109.83,115.97,false,2010-03-20,expiry,6090.0,75.4,6014.6,0.0030073
USO,oil_and_energy,xsec,2010-02-03,2010-03-20,45,22,1,35.0,32.0,3.0,0.45999999999999996,2.54,254.0,NaN,0.002447219088750575,0.2927355266835167,0.33695985897683645,1.0,157.48031496062993,157.0,37.65,39.2,false,2010-03-20,expiry,7222.0,204.1,7017.9,0.00350895
GLD,precious_metals,xsec,2010-02-10,2010-03-20,38,22,1,100.0,95.0,5.0,0.69,4.3100000000000005,431.00000000000006,NaN,0.00017181604565030383,0.05,0.3695828547320889,1.0,92.80742459396751,93.0,105.12,108.28,false,2010-03-20,expiry,6417.0,120.9,6296.1,0.0031480500000000003
TLT,us_rates_and_ig_credit,xsec,2010-02-10,2010-03-20,38,22,1,87.0,85.0,2.0,0.24999999999999997,1.75,175.0,NaN,0.00011297001371791894,0.07912819582875898,0.37487102184633897,1.0,228.57142857142858,229.0,90.31,91.26,false,2010-03-20,expiry,5724.999999999999,297.7,5427.299999999999,0.0027136499999999997
SPY,us_large_cap_equity,xsec,2010-02-18,2010-03-20,30,22,1,106.0,102.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.000027158763279226065,0.05,0.5739355510664805,1.0,112.99435028248588,113.0,110.91,115.97,false,2010-03-20,expiry,5198.0,146.9,5051.1,0.00252555
IWM,us_small_cap_equity,xsec,2010-02-25,2010-03-31,34,22,1,60.0,56.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.0005281984833684378,0.13424267324284428,0.5240840828421873,1.0,112.99435028248588,113.0,63.06,67.8,false,2010-03-31,expiry,5198.0,146.9,5051.1,0.00252555
