ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SPY,us_large_cap_equity,xsec,2010-01-04,2010-02-20,47,22,0,108.0,101.0,7.0,0.8100000000000002,6.1899999999999995,619.0,NaN,0.0006701308437288929,0.2838536262140128,0.65291154592691,1.0,64.62035541195476,65.0,113.33,111.14,false,2010-02-20,expiry,5265.000000000001,84.5,5180.500000000001,0.0025902500000000005
XRT,us_discretionary_sector,xsec,2010-01-04,2010-02-20,47,22,0,33.0,31.0,2.0,0.27,1.73,173.0,NaN,0.0020021923171919757,0.34412232499037015,0.5151367713068133,1.0,30.0,30.0,35.94,36.77,false,2010-02-20,expiry,810.0,39.0,771.0,0.0003855
SPY,us_large_cap_equity,xsec,2010-01-11,2010-02-20,40,22,0,110.0,105.0,5.0,0.6050000000000001,4.395,439.49999999999994,NaN,0.0007656225004332644,0.34854556748996296,0.7052839496374862,1.0,91.01251422070536,91.0,114.73,111.14,false,2010-02-20,expiry,5505.500000000001,118.3,5387.200000000001,0.0026936000000000004
XRT,us_discretionary_sector,xsec,2010-01-11,2010-02-20,40,22,0,34.0,32.0,2.0,0.24,1.76,176.0,NaN,0.0018102609979563197,0.3455602655018199,0.5129412828310452,1.0,37.5,38.0,36.41,36.77,false,2010-02-20,expiry,912.0,49.4,862.6,0.0004313
SPY,us_large_cap_equity,xsec,2010-01-19,2010-03-20,60,22,0,109.0,100.0,9.0,0.9850000000000001,8.015,801.5,NaN,0.0006946721639377971,0.35591604075361616,0.637552275751942,1.0,49.90642545227698,50.0,115.06,115.97,false,2010-03-20,expiry,4925.000000000001,65.0,4860.000000000001,0.0024300000000000003
XRT,us_discretionary_sector,xsec,2010-01-19,2010-03-20,60,22,0,34.0,31.0,3.0,0.43,2.57,257.0,NaN,0.0008902338978959792,0.2479103688299801,0.5172281204913416,1.0,155.6420233463035,156.0,36.14,40.49,false,2010-03-20,expiry,6708.0,202.8,6505.2,0.0032526
DIA,us_large_cap_equity,xsec,2010-01-26,2010-03-20,53,22,0,96.0,88.0,8.0,0.9199999999999999,7.08,708.0,NaN,0.0008968436055436999,0.2996298997144548,0.5592336837909859,1.0,56.49717514124294,56.0,101.88,107.34,false,2010-03-20,expiry,5152.0,72.8,5079.2,0.0025396
SPY,us_large_cap_equity,xsec,2010-01-26,2010-03-20,53,22,0,103.0,93.0,10.0,1.245,8.754999999999999,875.4999999999999,NaN,0.0009140262241796198,0.25446541830574226,0.6303770304009932,1.0,45.68817818389493,46.0,109.31,115.97,false,2010-03-20,expiry,5727.000000000001,59.800000000000004,5667.200000000001,0.0028336000000000004
SPY,us_large_cap_equity,xsec,2010-02-02,2010-03-20,46,22,1,105.0,97.0,8.0,1.065,6.9350000000000005,693.5,NaN,0.0006048620179752457,0.18902308918507976,0.6118756024653573,1.0,57.67844268204758,58.0,110.38,115.97,false,2010-03-20,expiry,6177.0,75.4,6101.6,0.0030508
USO,oil_and_energy,xsec,2010-02-02,2010-03-20,46,22,1,35.0,33.0,2.0,0.30999999999999994,1.69,169.0,NaN,0.0017934604868452483,0.2327334529983687,0.3462919820092042,1.0,227.75,228.0,37.53,39.2,false,2010-03-20,expiry,7067.999999999998,296.40000000000003,6771.5999999999985,0.003385799999999999
IWM,us_small_cap_equity,xsec,2010-02-09,2010-03-31,50,22,1,55.0,50.0,5.0,0.6649999999999999,4.335,433.5,NaN,0.0007739050409360949,0.125157313137143,0.5056609916398325,1.0,92.2722029988466,92.0,59.49,67.8,false,2010-03-31,expiry,6117.999999999999,119.60000000000001,5998.399999999999,0.002999199999999999
USO,oil_and_energy,xsec,2010-02-09,2010-03-20,39,22,1,34.0,31.0,3.0,0.565,2.435,243.5,NaN,0.0017844293385950328,0.15493539834979997,0.3398935448077041,1.0,164.2710472279261,164.0,36.21,39.2,false,2010-03-20,expiry,9265.999999999998,213.20000000000002,9052.799999999997,0.004526399999999999
SPY,us_large_cap_equity,xsec,2010-02-17,2010-03-31,42,22,1,105.0,97.0,8.0,0.96,7.04,704.0,NaN,0.0003519246875609162,0.11375646300235516,0.5735653049187455,1.0,56.81818181818182,57.0,110.26,117.0,false,2010-03-31,expiry,5472.0,74.10000000000001,5397.9,0.00269895
USO,oil_and_energy,xsec,2010-02-17,2010-04-17,59,22,1,35.0,31.0,4.0,0.63,3.37,337.0,NaN,0.0006556064476476095,0.07465027200546645,0.3494446504747201,1.0,118.69436201780415,119.0,37.97,40.6,false,2010-04-17,expiry,7497.0,154.70000000000002,7342.3,0.00367115
IWM,us_small_cap_equity,xsec,2010-02-24,2010-04-17,52,22,1,59.0,54.0,5.0,0.64,4.36,436.00000000000006,NaN,0.00034222421088611924,0.09129192876357438,0.5327877781896742,1.0,91.74311926605503,92.0,63.04,71.46,false,2010-04-17,expiry,5888.0,119.60000000000001,5768.4,0.0028842
SPY,us_large_cap_equity,xsec,2010-02-24,2010-04-17,52,22,1,105.0,97.0,8.0,0.965,7.035,703.5,NaN,0.0004574231696559423,0.16145662819725173,0.6183114105797589,1.0,56.85856432125089,57.0,110.82,119.36,false,2010-04-17,expiry,5500.5,74.10000000000001,5426.4,0.0027132
SPY,us_large_cap_equity,xsec,2010-03-03,2010-04-17,45,22,2,107.0,100.0,7.0,0.7899999999999998,6.21,621.0,NaN,0.00017491399971159395,0.08109482314582339,0.5805309854378403,1.0,64.4122383252818,64.0,112.3,119.36,false,2010-04-17,expiry,5055.999999999999,83.2,4972.799999999999,0.0024863999999999997
