ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SPY,us_large_cap_equity,xsec,2010-01-11,2010-02-20,40,22,0,110.0,105.0,5.0,0.6050000000000001,4.395,439.49999999999994,NaN,0.0007656225004332644,0.34854556748996296,0.7052839496374862,1.0,91.01251422070536,91.0,114.73,111.14,false,2010-02-20,expiry,5505.500000000001,118.3,5387.200000000001,0.0026936000000000004
XRT,us_discretionary_sector,xsec,2010-01-11,2010-02-20,40,22,0,34.0,32.0,2.0,0.24,1.76,176.0,NaN,0.0018102609979563197,0.3455602655018199,0.5129412828310452,1.0,37.5,38.0,36.41,36.77,false,2010-02-20,expiry,912.0,49.4,862.6,0.0004313
DIA,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,104.0,100.0,4.0,0.49,3.51,351.0,NaN,0.0005036120835882746,0.32665998308571276,0.5675456748679509,1.0,113.96011396011396,114.0,107.17,103.99,true,2010-02-20,expiry,5471.999999999942,148.20000000000002,5323.799999999942,0.002661899999999971
SPY,us_large_cap_equity,xsec,2010-01-19,2010-02-20,32,22,0,111.0,107.0,4.0,0.46,3.54,354.0,NaN,0.0006946721639377971,0.35591604075361616,0.637552275751942,1.0,112.99435028248588,113.0,115.06,111.14,false,2010-02-20,expiry,5198.0,146.9,5051.1,0.00252555
XLI,us_industrial_sector,xsec,2010-01-25,2010-02-20,26,22,0,27.0,25.0,2.0,0.26499999999999996,1.735,173.5,NaN,0.0006501650556977085,0.148249931800647,0.5756739684846836,1.0,90.25,90.0,28.02,28.86,false,2010-02-20,expiry,2384.9999999999995,117.0,2267.9999999999995,0.0011339999999999998
XRT,us_discretionary_sector,xsec,2010-01-25,2010-02-20,26,22,0,33.0,32.0,1.0,0.14499999999999996,0.855,85.5,NaN,0.0007779918502253715,0.1475979087936308,0.5111892339299097,1.0,455.75,456.0,35.01,36.77,false,2010-02-20,expiry,6611.999999999998,592.8000000000001,6019.199999999998,0.003009599999999999
DIA,us_large_cap_equity,xsec,2010-02-08,2010-03-20,40,22,1,94.0,88.0,6.0,0.775,5.225,522.5,NaN,0.0013165568314887355,0.3558150528746062,0.5613971082356659,1.0,76.55502392344498,77.0,99.22,107.34,false,2010-03-20,expiry,5967.5,100.10000000000001,5867.4,0.0029337
SPY,us_large_cap_equity,xsec,2010-02-08,2010-03-20,40,22,1,100.0,92.0,8.0,1.0350000000000001,6.965,696.5,NaN,0.001535693570423081,0.3360640936800331,0.6171965265214626,1.0,57.4300071787509,57.0,105.89,115.97,false,2010-03-20,expiry,5899.500000000001,74.10000000000001,5825.400000000001,0.0029127000000000003
SPY,us_large_cap_equity,xsec,2010-02-16,2010-03-20,32,22,1,105.0,98.0,7.0,0.8750000000000001,6.125,612.5,NaN,0.0001527614552667149,0.05,0.5733766167482373,1.0,65.3061224489796,65.0,109.74,115.97,false,2010-03-20,expiry,5687.500000000001,84.5,5603.000000000001,0.0028015000000000006
TLT,us_rates_and_ig_credit,xsec,2010-02-16,2010-03-20,32,22,1,88.0,86.0,2.0,0.3399999999999999,1.6600000000000001,166.0,NaN,0.00007372171316194281,0.05915957741795777,0.3780911910359306,1.0,240.96385542168676,241.0,90.36,91.26,false,2010-03-20,expiry,8193.999999999998,313.3,7880.699999999998,0.003940349999999999
DIA,us_large_cap_equity,xsec,2010-02-22,2010-03-20,26,22,1,101.0,97.0,4.0,0.525,3.475,347.5,NaN,0.0001678401832068176,0.08411552940499804,0.5507755015894508,1.0,115.10791366906474,115.0,103.84,107.34,false,2010-03-20,expiry,6037.5,149.5,5888.0,0.002944
SPY,us_large_cap_equity,xsec,2010-02-22,2010-03-20,26,22,1,107.0,103.0,4.0,0.49000000000000005,3.51,351.0,NaN,0.00046242464676290746,0.17375667019362812,0.5949786828282677,1.0,113.96011396011396,114.0,111.16,115.97,false,2010-03-20,expiry,5586.000000000001,148.20000000000002,5437.800000000001,0.0027189000000000007
DIA,us_large_cap_equity,xsec,2010-03-08,2010-04-17,40,22,2,102.0,97.0,5.0,0.645,4.355,435.50000000000006,NaN,0.0002311497635767441,0.14726281822649911,0.5482265207284763,1.0,91.84845005740527,92.0,105.59,110.18,false,2010-04-17,expiry,5934.0,119.60000000000001,5814.4,0.0029072
SPY,us_large_cap_equity,xsec,2010-03-08,2010-04-17,40,22,2,110.0,104.0,6.0,0.795,5.205,520.5,NaN,0.0004550736990791438,0.2231103245813546,0.6048086274588224,1.0,76.84918347742556,77.0,114.27,119.36,false,2010-04-17,expiry,6121.5,100.10000000000001,6021.4,0.0030107
IWM,us_small_cap_equity,xsec,2010-03-15,2010-04-17,33,22,2,64.0,61.0,3.0,0.375,2.625,262.5,NaN,0.0008953173526775487,0.24051379021465355,0.5157561177849276,1.0,152.38095238095238,152.0,67.49,71.46,false,2010-04-17,expiry,5700.0,197.6,5502.4,0.0027511999999999997
SPY,us_large_cap_equity,xsec,2010-03-15,2010-04-17,33,22,2,111.0,107.0,4.0,0.5249999999999999,3.475,347.5,NaN,0.0005129577468661363,0.2367558840335417,0.6300665099085001,1.0,115.10791366906474,115.0,115.49,119.36,false,2010-04-17,expiry,6037.499999999999,149.5,5887.999999999999,0.0029439999999999996
